name,schema_name,url,base_diff_pct,refresh_diff_pct,cls_after_click,cls_after_manual,status,error,pre_click_png,post_click_png,post_refresh_png,base_diff_png,refresh_diff_png
Balance,Impact,https://impact-theme-shape.myshopify.com/products/infinity-bra-navy-blue,,,,,ERROR,Protocol error (Page.captureScreenshot): Cannot take screenshot with 0 height.,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\refresh_diff.png
Dawn,Dawn,https://theme-dawn-demo.myshopify.com/products/bo-ivy-black,0.2950,2.4872,0,0.010157091049382717,PASS,,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\refresh_diff.png
Nest,Mr Parker,https://mrparkerdemo.myshopify.com/collections/bed-bath/products/unikko-f-q-duvet-set,10.3134,47.4721,0,0.07380319552960812,PASS,,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\refresh_diff.png
Balance,Impact,https://impact-theme-shape.myshopify.com/products/infinity-bra-navy-blue,,,,,ERROR,Protocol error (Page.captureScreenshot): Cannot take screenshot with 0 height.,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\refresh_diff.png
Pillar,Hyper,https://hyper-pillar.myshopify.com/products/breezy-sock,,,,,ERROR,Protocol error (Page.captureScreenshot): Cannot take screenshot with 0 height.,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\refresh_diff.png
Flora,Grid,https://grid-theme-light.myshopify.com/collections/clearance/products/finn-jumpsuit-poppy?variant=32029844832330,2.1959,5.5977,0,0.030585811594288814,PASS,,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\refresh_diff.png
Jellybean,,https://uplift-theme-myshopify.com/products/beanie-lion,,,,,ERROR,net::ERR_NAME_NOT_RESOLVED at https://uplift-theme-myshopify.com/products/beanie-lion,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\refresh_diff.png
Dawn,Dawn,https://theme-dawn-demo.myshopify.com/products/bo-ivy-black,0.0000,2.2194,0,0.009375929591049383,PASS,,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\refresh_diff.png
Nest,Mr Parker,https://mrparkerdemo.myshopify.com/collections/bed-bath/products/unikko-f-q-duvet-set,10.3134,47.4721,0,0.07612769315870951,PASS,,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\refresh_diff.png
Balance,Impact,https://impact-theme-shape.myshopify.com/products/infinity-bra-navy-blue,,,,,ERROR,Protocol error (Page.captureScreenshot): Cannot take screenshot with 0 height.,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\refresh_diff.png
Pillar,Hyper,https://hyper-pillar.myshopify.com/products/breezy-sock,,,,,ERROR,Protocol error (Page.captureScreenshot): Cannot take screenshot with 0 height.,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\refresh_diff.png
Flora,Grid,https://grid-theme-light.myshopify.com/collections/clearance/products/finn-jumpsuit-poppy?variant=32029844832330,2.1959,5.6040,0,0.05267497518289746,PASS,,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\refresh_diff.png
Jellybean,,https://uplift-theme-myshopify.com/products/beanie-lion,,,,,ERROR,net::ERR_NAME_NOT_RESOLVED at https://uplift-theme-myshopify.com/products/beanie-lion,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\refresh_diff.png
Dawn,Dawn,https://theme-dawn-demo.myshopify.com/products/bo-ivy-black,0.0000,2.2162,0,0.009375929591049383,PASS,,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\dawn\refresh_diff.png
Nest,Mr Parker,https://mrparkerdemo.myshopify.com/collections/bed-bath/products/unikko-f-q-duvet-set,10.3134,47.5960,0.0002706656234728357,0.07612769315870951,PASS,,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\nest\refresh_diff.png
Balance,Impact,https://impact-theme-shape.myshopify.com/products/infinity-bra-navy-blue,1.0493,81.7082,0,0.00659086267472889,PASS,,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\balance\refresh_diff.png
Pillar,Hyper,https://hyper-pillar.myshopify.com/products/breezy-sock,0.0000,38.6031,0,0.00536064140186281,PASS,,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\pillar\refresh_diff.png
Flora,Grid,https://grid-theme-light.myshopify.com/collections/clearance/products/finn-jumpsuit-poppy?variant=32029844832330,1.1796,8.8583,0,0.03576754726839938,PASS,,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\flora\refresh_diff.png
Jellybean,Sunrise,https://uplift-theme.myshopify.com/products/beanie-lion,5.1795,,0.005115843672129235,,ERROR,no_variant_available,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\pre_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\post_click.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\post_refresh.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\base_diff.png,C:\Users\aman\Desktop\shopify-theme\e2e\out\jellybean\refresh_diff.png
